"Shipment ID",Asset,"Old COA","New COA",Added
19,282985,"Windows 8",03307504183457,"2019-09-19 17:37:13"
19,282991,"Windows 8",03307504183465,"2019-09-19 17:27:49"
19,283020,"Windows 8",03307504183521,"2019-09-19 17:33:32"
19,283049,"wINDOWS 8",03307504183441,"2019-09-19 17:35:53"
19,283065,"Windows 8",03307504183449,"2019-09-19 17:28:58"
19,283184,"Windows 8",03307504183439,"2019-09-19 17:32:02"
19,283185,"Windows 8",03307504183498,"2019-09-19 17:30:30"
19,266998,00186221543657,03307504183526,"2019-09-18 20:48:51"
19,267169,00186223792672,03307504183506,"2019-09-18 20:27:14"
19,267859,00186201242218,03307504183505,"2019-09-18 20:25:01"
19,282236,00186217643517,03307504183507,"2019-09-18 20:30:30"
19,282239,00186214884773,03307504183525,"2019-09-18 20:55:54"
19,282363,00186223963243,03307504183489,"2019-09-18 20:28:20"
19,284045,00186223963230,03307504183536,"2019-09-18 20:51:59"
19,284066,00186218051449,03307504183493,"2019-09-18 20:31:43"
19,284067,00186218051355,03307504183479,"2019-09-18 20:44:36"
19,284069,00039692312084,03307504183494,"2019-09-18 20:41:00"
19,282324,00186226344111,03307504183450,"2019-09-19 17:12:25"
19,284659,00186189567549,03307504183456,"2019-09-19 17:11:06"
19,274480,00186174649088,03307504183455,"2019-09-19 17:23:07"
19,283015,00186104771718,03307504183604,"2019-09-19 17:24:01"
19,284679,00186104771259,03307504183440,"2019-09-19 17:19:54"
19,283936,00039690432477,03307504183600,"2019-09-18 14:38:49"
19,283937,00039690432906,03307504183583,"2019-09-18 19:20:50"
19,283946,00039692312033,03307504183533,"2019-09-18 19:58:27"
19,283947,00039690432486,03307504183537,"2019-09-18 15:35:14"
19,283952,00039690433759,03307504183596,"2019-09-18 14:20:57"
19,283953,00039690433755,03307504183574,"2019-09-18 14:32:38"
19,283954,00039690433758,03307504183546,"2019-09-18 18:17:24"
19,283955,00039692312087,03307504183565,"2019-09-18 18:07:08"
19,283959,00039692312074,03307504183513,"2019-09-18 20:01:30"
19,283960,00039692312096,03307504183552,"2019-09-18 18:44:07"
19,283961,00039692312077,03307504183582,"2019-09-18 18:33:18"
19,283962,00039690432479,03307504183519,"2019-09-18 19:35:09"
19,283963,00039690432908,03307504183614,"2019-09-18 16:54:18"
19,283967,00039690433766,03307504183580,"2019-09-18 14:35:35"
19,283970,00039692312068,03307504183539,"2019-09-18 17:41:04"
19,283972,00039690432474,03307504183549,"2019-09-18 18:22:20"
19,283973,00039692312073,03307504183545,"2019-09-18 17:42:03"
19,283975,00039690433802,03307504183524,"2019-09-18 19:59:11"
19,283978,00039690433849,03307504183528,"2019-09-18 19:43:13"
19,283979,00039690432905,03307504183617,"2019-09-18 19:39:48"
19,283980,00039692312076,03307504183527,"2019-09-18 20:00:15"
19,283981,00039690433854,03307504183523,"2019-09-18 17:27:50"
19,283988,00039690433803,03307504183480,"2019-09-18 21:28:45"
19,284002,00039690433799,03307504183540,"2019-09-18 18:07:22"
19,284004,00039692312097,03307504183560,"2019-09-18 18:07:25"
19,284013,00039690432902,03307504183570,"2019-09-18 19:10:31"
19,284014,00039690433765,03307504183567,"2019-09-18 19:24:49"
19,284017,00039692312041,03307504183558,"2019-09-18 19:04:29"
19,284019,00039692312095,03307504183529,"2019-09-18 16:33:36"
19,284021,00039692312002,03307504183591,"2019-09-18 14:42:51"
19,284022,00039690433771,03307504183514,"2019-09-18 20:08:06"
19,284025,00039692312080,03307504183557,"2019-09-18 18:32:32"
19,284027,00039690433862,03307504183620,"2019-09-18 19:34:27"
19,284031,00039692312020,03307504183588,"2019-09-18 15:05:31"
19,284032,00039690432495,03307504183518,"2019-09-18 20:04:38"
19,284083,00039692312067,03307504183564,"2019-09-18 19:15:50"
19,284084,00039690433786,03307504183572,"2019-09-18 18:27:52"
19,284085,00039690433801,03307504183559,"2019-09-18 18:45:20"
19,284086,00039692312017,03307504183555,"2019-09-18 18:59:50"
19,284087,00039690433763,03307504183576,"2019-09-18 14:27:39"
19,284088,00039692312083,03307504183543,"2019-09-18 17:32:19"
19,284090,00039690433752,03307504183615,"2019-09-18 17:24:34"
19,284095,00039692312047,03307504183618,"2019-09-18 20:19:45"
19,284096,00039690432459,03307504183532,"2019-09-18 17:35:44"
19,284097,00039690433751,03307504183512,"2019-09-18 19:43:45"
19,284098,00039690433782,03307504183534,"2019-09-18 19:50:05"
19,284099,00039692312098,03307504183599,"2019-09-18 14:28:33"
19,284101,00039690432481,03307504183601,"2019-09-18 19:07:09"
