"Shipment ID",Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Added
25,545195,014302462353,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:17"
25,545197,037230654053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:00"
25,545199,078279261853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:43:23"
25,545202,015686263253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:09"
25,545203,015638563253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:42"
25,545204,025278461853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:28:48"
25,545205,078136361853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 22:03:35"
25,545206,022885361853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:43"
25,545207,057863661853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:28"
25,545208,040662361853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:51:40"
25,545209,037972764853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:32"
25,545211,043269464853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:26:51"
25,545213,022727154153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:47"
25,545221,042050354053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:02:35"
25,545224,040695461853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:36:10"
25,545228,072813761853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:45"
25,545230,015622563253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:55:30"
25,545232,031521254053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:23:02"
25,545233,073789161853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:31:03"
25,545234,022861261853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:49:56"
25,545235,066399262153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:19:40"
25,545236,026361361853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:24:10"
25,545237,022639654153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:15:44"
25,545239,040348261853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:45"
25,545240,026192161853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:29"
25,545241,038031654153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:37:50"
25,545242,067720661853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-12 15:42:24"
25,545243,018047163253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 22:15:38"
25,545297,028215354053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:06"
25,545301,047283464853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:59"
25,545302,037959254153,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:03"
25,545304,024927463253,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:48:39"
25,545305,055384362453,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:39:21"
25,545306,013221562753,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:53:54"
25,545307,037514154053,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:56"
25,545309,057751361853,,,"WIN8 Activated","Surface Pro 4","i5 6300U CPU @2.4GHz","2019-12-11 21:38:13"
