Asset,S/N,"Old COA","New COA",WIN8,Model,CPU,Manufacturer,Added
524507,R90KQWL1,,03307504798644,Activated,"THINKPAD X1 YOGA 1ST GEN",i7-6600U_2.6GHz,Lenovo,"2019-12-06 15:48:24"
283304,33RVM32,,03307504798643,Activated,"Latitude E7450","i7-5600U_2.6 GHz",Lenovo,"2019-12-06 21:45:09"
538482,GF0G2G2,,03307504798652,Activated,"Latitude E7470","i5-6300U_2.4 GHz",Lenovo,"2019-12-09 20:48:49"
283305,3WW6QC2,,03307504798658,Activated,"Latitude E7470",i7-6600U_2.6GHz,Lenovo,"2019-12-09 20:50:00"
295548,1S9QQ72,,03307504798654,Activated,"Latitude E7470",i7-6600U_2.6GHz,Lenovo,"2019-12-09 20:50:38"
283300,59ZBN72,,03307504798650,Activated,"Latitude E7470",i7-6600U_2.6GHz,Lenovo,"2019-12-09 20:51:15"
269478,1X9CW12,00186251625742,03307504798651,,"OptiPlex 9020",i5-4670_3.4GHz,Dell,"2019-12-09 20:52:12"
536658,7B7SN02,,03307504798685,Activated,"OptiPlex 9020","i5-4570_3.2 GHz",Dell,"2019-12-09 20:52:39"
520787,PC02NNM1,,03307504798639,Activated,"THINKPAD T440","i5-4300U_1.9 GHz",Lenovo,"2019-12-10 16:29:28"
527915,PC0MC1CK,,03307504798630,Activated,,"i5-6300U_2.4 GHz",Lenovo,"2019-12-10 16:30:12"
524166,BM63TW1,00186209012726,03307504798631,,"OptiPlex 7010","i3-3220_3.3 GHz",Dell,"2019-12-10 17:53:46"
524166,BM63TW1,00186209012726,03307504798631,,"OptiPlex 7010","i3-3220_3.3 GHz",Dell,"2019-12-10 18:31:29"
545372,048206164853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 19:44:54"
545390,023183464853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 19:45:38"
545243,018047163253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 19:52:03"
545239,040348261853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 19:55:30"
545361,026318161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 19:58:31"
545378,073733561853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:03:31"
545241,038031654153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:04:41"
545412,015646663253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:09:25"
545206,022885361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:10:28"
545386,037346554053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:17:15"
545213,022727154153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:18:12"
545346,032050454053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:22:57"
545208,040662361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:26:43"
545240,026192161853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:28:02"
545412,015646663253,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:29:26"
545197,037230654053,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:29:32"
545392,022500554153,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:29:42"
545375,002348462753,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:33:34"
545205,078136361853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:36:09"
545209,037972764853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:40:16"
545401,047857464853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:43:33"
545403,061952561853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:45:34"
545397,047725364853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:45:58"
545207,057863661853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:45:59"
547129,057642461853,,,Activated,"Surface Pro 4","i5-6300U_2.4 GHz",Microsoft,"2019-12-10 20:47:11"
