Asset,"Reported Issues",Added
12345,"test issue","2019-10-10 10:26:30"
284471,"keyboard issue","2019-10-10 15:37:32"
193881,"Case scratch severe ","2019-10-11 20:37:09"
296258,"Faceplate Scratch","2019-10-14 14:38:12"
277416,"Case Crack","2019-10-14 14:47:38"
296214,"No ODD, Loud PSU fan, no boot","2019-10-14 16:23:14"
168942,"Case dent","2019-10-14 17:06:56"
297737,"BAD FACE ","2019-10-15 14:38:46"
296254,"BAD FACE","2019-10-15 14:41:31"
297745,"BAD CASE","2019-10-15 15:06:02"
297745,"BAD CASE","2019-10-15 15:09:22"
175432,"Case gouge, faceplate scratch","2019-10-15 15:49:36"
275467,"Case dent, top case chip","2019-10-15 19:56:15"
282339,"Pressure mark, case crack, top case chip","2019-10-15 19:59:27"
282351,"Top case chip, pressure marks","2019-10-15 20:01:42"
284678,"Bad Display","2019-10-15 20:29:31"
284662,"Cracked case","2019-10-15 20:33:13"
284674,"Damaged bezel, worn trackpad","2019-10-15 20:58:43"
296207,"BAD CASE","2019-10-15 20:59:13"
297752,"BAD FACE","2019-10-15 22:12:06"
203199,"AMAZON PROBLEM","2019-10-16 14:17:22"
279307,"Amazon Problem+++++++++","2019-10-16 14:51:29"
279305,"Amazon Problem","2019-10-16 15:03:55"
279262,"amazon problem","2019-10-16 15:06:28"
167572,"AMAZON PROBLEMS","2019-10-16 15:08:29"
296741,"face scrach","2019-10-16 15:29:54"
279285,"AMAZON PROBLEMS","2019-10-16 15:35:24"
279261,"amazon problem ","2019-10-16 15:37:48"
279296,"AMAZON PROBLEM","2019-10-16 15:40:07"
283131,"Screen Lines, case crack","2019-10-16 17:31:01"
284677,"Cracked screen","2019-10-16 18:17:24"
284611,"Dead, no signs of life","2019-10-16 18:58:05"
294810,"DENT CASE","2019-10-16 19:26:34"
193859,"Edge case chip, worn palm rest","2019-10-16 21:20:30"
284611,"Missing battery","2019-10-17 14:39:31"
284611,"Missing screen, battery, no signs of life","2019-10-17 14:39:53"
188726,"pressure mark","2019-10-17 15:10:49"
185768,"palm rest scratch","2019-10-17 15:15:09"
282956,"Case scratch major corner","2019-10-17 15:57:06"
283119,"Case scratch Severe","2019-10-17 16:00:03"
283141,"Top Case scratch severe","2019-10-17 16:46:13"
283158,"case scratch corner","2019-10-17 16:59:48"
284653,"Corner scratch severe","2019-10-17 17:03:45"
284666,"Case dent","2019-10-17 17:06:05"
283286,"Damaged bezel","2019-10-17 17:09:08"
