Asset,Model,"Form Factor",CPU,Price,ASIN,Added
142323,"ThinkCentre M91p","Small Form Factor","i7 2600@3.4GHz",228.8,B0786HSGW7,"2019-05-06 21:45:11"
142419,"Optiplex 390","Small Form Factor","i5 2400@3.4GHz",139.99,B01LOSQWBC,"2019-05-08 20:26:10"
142387,"Optiplex 390","Small Form Factor","i5 2400@3.4GHz",139.99,B01LOSQWBC,"2019-05-08 20:36:49"
142409,"Optiplex 390","Small Form Factor","i5 2400@3.4GHz",139.99,B01LOSQWBC,"2019-05-08 20:39:19"
144141,"ThinkPad T440",Notebook,"i5 4300U@1.9GHz",279.99,B07CTTW8HR,"2019-05-10 18:35:14"
144137,"ThinkPad T450S",Notebook,"i5 5300U@2.3GHz",319.99,B07HHCGJSY,"2019-05-10 18:39:57"
144144,"ThinkPad T450S",Notebook,"i5 5300U@2.3GHz",319.99,B07HHCGJSY,"2019-05-10 18:40:19"
146409,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570@3.2GHz",156.99,B01HSDJFFM,"2019-05-14 15:36:44"
146143,"Elite 8300","Small Form Factor","i5 3470,3570@3.2GHz",160,B01CV9G1BO,"2019-05-15 14:39:49"
145401,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-15 17:01:04"
145400,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-15 17:01:29"
142404,"Optiplex 390","Small Form Factor","i5 2400@3.4GHz",139.99,B01LOSQWBC,"2019-05-15 19:49:00"
148254,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570@3.2GHz",156.99,B01HSDJFFM,"2019-05-15 19:58:24"
148255,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570@3.2GHz",156.99,B01HSDJFFM,"2019-05-15 20:06:05"
161559,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-17 15:29:25"
161558,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-17 15:31:48"
161570,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-17 15:32:40"
162153,"ProDesk 600 G1","Small Form Factor","i3 4130,4160@3.4GHz",149.89,B077MSZ9P3,"2019-05-17 17:26:14"
161794,"Surface Pro 3",Tablet,"i5 4300U@1.9GHz",394.99,B00VU1XDDO,"2019-05-20 15:50:21"
161910,"Surface Pro 3",Tablet,"i5 4300U@1.9GHz",394.99,B00VU1XDDO,"2019-05-20 16:28:06"
162313,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-20 17:18:38"
162324,"Elite 6300","Small Form Factor","i3 3220@3.3GHz",123.99,B01GU6HLH2,"2019-05-20 17:24:47"
