ASIN,Asset,Model,"Form Factor",CPU,Price,Added
B01LXCLDRI,178261,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 15:58:43"
B01LXCLDRI,178262,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 15:57:46"
B01LXCLDRI,178264,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 16:02:21"
B01LXCLDRI,181211,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 18:52:04"
B01LXCLDRI,181212,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 18:53:14"
B01LXCLDRI,181215,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 18:52:40"
B01LXCLDRI,181218,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 18:48:26"
B01LXCLDRI,181228,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 18:51:25"
B01LXCLDRI,181251,"Thinkpad T430",Notebook,"i5 3230M,3210M,3320M CPU @ 3.3GHz",198.09,"2019-06-21 18:55:59"
B01HSDJFFM,181086,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-20 15:07:45"
B01HSDJFFM,181087,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:44:20"
B01HSDJFFM,181114,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:47:33"
B01HSDJFFM,181115,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:44:00"
B01HSDJFFM,181116,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:43:40"
B01HSDJFFM,181117,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:47:07"
B01HSDJFFM,181118,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:42:52"
B01HSDJFFM,181119,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:42:29"
B01HSDJFFM,181120,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:46:45"
B01HSDJFFM,181121,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 21:18:40"
B01HSDJFFM,181122,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:46:24"
B01HSDJFFM,181123,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:41:26"
B01HSDJFFM,181124,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:45:59"
B01HSDJFFM,181126,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:45:34"
B01HSDJFFM,181127,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:56:19"
B01HSDJFFM,181128,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:57:14"
B01HSDJFFM,181129,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:42:09"
B01HSDJFFM,181130,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:41:48"
B01HSDJFFM,181131,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:56:52"
B01HSDJFFM,181133,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:50:09"
B01HSDJFFM,181134,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:49:48"
B01HSDJFFM,181136,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:51:11"
B01HSDJFFM,181137,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:50:30"
B01HSDJFFM,181138,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-20 15:14:49"
B01HSDJFFM,181139,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:52:18"
B01HSDJFFM,181140,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:51:58"
B01HSDJFFM,181141,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:43:19"
B01HSDJFFM,181143,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:55:56"
B01HSDJFFM,181145,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:53:27"
B01HSDJFFM,181147,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:53:57"
B01HSDJFFM,181148,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:54:19"
B01HSDJFFM,181149,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:51:35"
B01HSDJFFM,181150,"Optiplex 7010","Small Form Factor","i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",143.99,"2019-06-19 18:54:41"
B07CTTW8HR,181210,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:08:44"
B07CTTW8HR,181220,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:05:07"
B07CTTW8HR,181222,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:11:18"
B07CTTW8HR,181226,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:11:56"
B07CTTW8HR,181227,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:10:46"
B07CTTW8HR,181231,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:17:52"
B07CTTW8HR,181235,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 18:59:15"
B07CTTW8HR,181236,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:19:49"
B07CTTW8HR,181238,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:12:25"
B07CTTW8HR,181240,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:20:22"
B07CTTW8HR,181246,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:17:12"
B07CTTW8HR,181247,"ThinkPad T440",Notebook,"i5 4300U CPU @ 1.9GHz",284.95,"2019-06-21 19:16:07"
