ASIN,Asset,Model,"Form Factor",S/N,CPU,Price,Added
B01LXCLDRI,275297,"Thinkpad T430",Notebook,PBX12RY,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.89,"2019-11-01 16:18:58"
B01LXCLDRI,286139,"Thinkpad T430",Notebook,PB3NK5F,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.89,"2019-11-01 16:18:18"
B01LXCLDRI,292377,"Thinkpad T430",Notebook,PB3NK2W,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.89,"2019-11-13 17:15:08"
B01LXCLDRI,292380,"Thinkpad T430",Notebook,PB4ATAY,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.89,"2019-11-01 16:18:41"
B01LXCLDRI,299651,"Thinkpad T430",Notebook,PBEY45N,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.89,"2019-11-13 17:11:11"
B01LXCLDRI,299710,"Thinkpad T430",Notebook,PBL0MNG,"i5 3230M,3210M,3320M CPU @ 3.3GHz",189.89,"2019-11-13 17:15:38"
B01HSDJFFM,188265,"Optiplex 7010","Small Form Factor",6FPVVV1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-10-31 18:53:25"
B01HSDJFFM,291540,"Optiplex 7010","Small Form Factor",3LRDCZ1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 19:16:30"
B01HSDJFFM,294661,"Optiplex 7010","Small Form Factor",2139BY1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 19:05:54"
B01HSDJFFM,295322,"Optiplex 7010","Small Form Factor",6711V12,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 16:48:56"
B01HSDJFFM,296334,"Optiplex 7010","Small Form Factor",DJ17FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 15:53:15"
B01HSDJFFM,296723,"Optiplex 7010","Small Form Factor",D369HX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 19:09:36"
B01HSDJFFM,296730,"Optiplex 7010","Small Form Factor",DFM8FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 17:47:12"
B01HSDJFFM,296738,"Optiplex 7010","Small Form Factor",F5KTWV1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 19:10:48"
B01HSDJFFM,296740,"Optiplex 7010","Small Form Factor",DNFHYV1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 19:17:41"
B01HSDJFFM,296750,"Optiplex 7010","Small Form Factor",DFP9FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 19:15:17"
B01HSDJFFM,296753,"Optiplex 7010","Small Form Factor",DHV8FX1,"i5 3470,3570,3550,3475S,3570 CPU @ 3.2GHz",149.99,"2019-11-14 15:59:34"
